337 5470
323 192 335
25 274 620
182 240 225
120 69 636
214 277 660
209 87 388
249 245 286
269 98 999
114 98 98
1 98 477
149 268 991
147 182 609
126 227 733
214 147 191
102 165 979
196 213 471
331 18 433
166 275 996
224 268 623
182 201 109
298 204 191
69 173 410
158 143 817
291 59 814
321 305 492
257 126 552
177 126 640
162 232 157
45 11 755
282 305 298
84 186 545
306 219 160
333 187 954
134 285 690
160 61 233
195 269 739
314 290 167
319 245 645
268 245 618
137 126 448
102 228 65
80 12 892
176 189 460
145 269 448
15 188 168
9 214 514
110 72 405
239 48 511
280 69 575
227 149 783
208 25 668
302 335 809
265 170 1008
192 330 753
302 311 940
246 123 826
77 319 50
18 38 6
193 28 501
103 101 890
258 282 40
199 86 827
123 278 419
20 280 407
130 243 651
224 317 737
321 223 990
307 177 191
86 12 581
89 111 220
185 212 217
161 78 721
98 128 122
83 307 146
172 30 678
153 255 53
189 166 121
142 295 217
272 269 961
219 329 926
39 192 66
160 127 496
247 337 860
95 22 266
306 27 844
276 214 403
327 209 70
337 261 756
63 188 416
50 116 250
291 62 729
57 110 582
53 197 455
254 135 364
192 48 985
316 273 906
169 176 691
237 16 948
57 87 997
257 38 236
324 182 958
142 28 279
323 186 844
270 121 453
68 112 84
98 320 899
252 266 838
136 51 534
283 47 647
37 148 596
59 100 116
257 18 824
200 38 121
20 213 241
94 36 736
140 86 319
335 326 683
154 145 47
80 307 497
233 56 904
186 93 775
209 116 333
283 150 443
39 154 5
246 142 710
229 5 895
215 17 523
269 132 515
74 82 879
53 150 192
187 244 258
221 50 389
259 249 969
3 208 150
32 122 341
212 299 967
160 262 278
328 54 185
158 109 55
333 160 383
56 114 147
31 49 218
225 89 248
292 294 97
160 254 90
2 109 800
160 104 11
87 257 895
228 158 30
67 1 421
260 264 366
231 332 823
266 37 505
46 235 998
146 149 343
147 74 426
323 181 1004
48 299 141
119 97 465
98 3 838
194 255 940
54 167 375
289 101 269
128 308 135
295 125 714
80 144 119
166 333 308
262 304 828
29 18 800
262 218 856
44 320 139
66 75 816
213 190 333
74 32 349
148 102 635
186 329 89
24 68 1023
283 44 11
27 65 496
253 310 284
65 137 255
89 304 107
35 150 381
83 97 128
274 221 700
123 159 709
305 172 855
170 329 622
296 335 978
217 130 184
145 121 267
223 6 293
201 115 195
271 26 558
10 111 606
90 163 875
276 227 159
188 155 194
143 238 417
281 210 524
281 8 545
37 92 434
306 157 151
189 144 669
111 186 379
207 242 391
143 151 934
230 133 828
200 17 725
225 119 544
72 2 358
237 228 127
314 242 97
304 20 592
270 86 734
92 246 869
243 154 977
298 122 72
333 268 231
251 324 618
17 237 604
65 129 253
75 84 60
249 277 305
38 138 256
285 166 844
8 150 41
260 279 642
332 200 399
31 251 719
249 11 273
16 222 155
100 328 257
32 223 370
259 41 761
34 93 736
77 71 777
191 184 354
132 45 821
299 118 58
239 162 104
155 303 721
186 34 875
70 93 1009
135 158 399
82 301 976
313 192 154
76 112 854
148 5 1006
314 10 440
84 42 863
332 329 402
252 95 796
161 334 737
215 155 618
257 207 309
236 130 125
296 75 425
121 305 924
229 20 851
229 187 78
83 186 565
154 152 544
128 229 724
22 295 86
229 181 758
292 304 489
273 79 771
211 41 40
103 304 117
180 21 986
228 276 520
46 260 394
10 193 459
274 207 921
75 33 278
215 269 140
32 16 300
71 175 175
336 120 425
325 205 744
257 153 49
186 308 66
90 259 119
78 317 969
231 216 131
160 286 650
245 22 702
59 105 651
312 276 941
4 137 722
205 25 363
267 106 298
214 180 582
24 165 479
215 62 945
241 16 147
143 100 812
319 114 869
237 259 246
80 266 424
185 111 254
40 21 612
168 22 111
118 43 999
250 155 823
327 253 272
254 10 186
332 215 76
47 317 452
262 273 891
219 231 718
211 44 21
271 251 662
125 263 468
260 298 563
184 254 480
320 99 302
299 327 798
125 230 659
298 320 724
157 113 856
184 119 594
225 50 243
71 61 306
254 182 575
308 128 977
186 147 411
37 287 637
29 137 1023
41 81 865
140 132 40
264 34 477
328 156 200
182 210 512
49 168 195
56 294 618
17 291 620
292 156 95
271 139 449
205 285 532
324 155 317
91 309 962
192 120 49
317 196 558
334 327 45
193 185 336
229 56 310
185 197 10
140 235 741
71 245 742
138 190 224
21 63 871
168 128 930
205 334 303
19 268 732
213 227 268
191 311 587
269 199 865
213 191 306
83 53 930
66 316 782
77 196 861
240 188 909
150 57 697
67 34 876
6 66 475
298 93 585
226 315 987
72 279 746
279 171 412
335 326 582
77 128 827
30 125 808
215 243 283
178 201 67
87 257 899
288 126 812
286 78 883
295 25 103
1 220 530
91 216 972
202 91 135
230 64 99
191 245 310
68 100 577
59 242 386
221 56 412
244 13 665
72 273 463
193 242 325
133 19 432
227 41 109
308 155 334
139 228 594
90 62 294
146 152 60
128 224 1017
236 84 553
300 201 25
165 253 132
164 47 350
310 17 475
116 255 394
111 335 766
302 35 598
219 52 969
146 242 9
13 77 731
289 309 742
256 3 305
171 274 923
162 220 989
232 147 648
285 281 414
67 35 655
333 136 591
157 5 138
117 110 986
16 87 183
241 149 453
327 55 857
26 178 776
93 127 826
137 172 73
181 215 209
202 190 526
66 192 988
182 194 504
266 108 821
265 291 742
318 119 580
2 154 344
241 106 518
226 112 883
229 289 589
142 12 315
258 253 237
213 55 875
221 329 666
203 6 80
204 143 322
254 230 186
333 207 751
108 146 947
95 267 117
205 241 143
330 246 840
335 112 156
3 128 47
97 261 517
296 219 111
114 32 798
18 327 104
57 240 269
81 29 525
19 268 874
64 66 575
90 3 672
238 233 526
121 25 869
22 37 425
45 147 631
285 314 558
184 308 419
93 151 617
272 48 440
252 324 388
51 154 74
291 13 1018
181 225 1007
319 274 722
232 205 374
100 297 251
193 303 1012
259 111 56
76 278 367
294 122 822
198 169 1023
111 300 980
336 265 381
216 19 97
56 265 900
233 126 196
121 142 253
60 31 939
320 5 441
274 307 417
193 60 495
245 99 927
219 97 833
23 61 630
296 37 561
221 241 468
158 100 560
65 175 319
71 109 267
312 8 612
272 323 370
207 194 661
47 179 65
320 270 312
81 306 579
336 87 955
226 164 496
213 215 338
118 95 190
306 281 525
72 298 425
219 168 350
310 189 586
203 125 309
97 217 116
106 33 412
82 65 630
37 96 165
105 66 134
310 254 713
284 248 940
108 211 684
263 233 42
256 220 495
19 157 441
300 88 267
199 255 412
29 298 6
129 211 814
205 278 475
280 6 132
131 322 643
30 149 881
13 120 534
311 18 495
82 64 815
162 150 674
2 314 90
213 318 473
337 113 509
94 56 546
246 216 448
2 220 876
254 168 672
71 149 293
80 202 166
226 1 623
96 68 781
119 208 620
229 81 55
126 71 748
182 75 411
81 189 854
29 237 730
137 116 982
44 248 689
222 61 893
271 152 823
228 251 652
10 209 264
327 306 427
83 275 1005
272 244 665
140 194 663
90 186 690
220 152 907
133 149 827
150 279 557
321 10 394
14 190 884
296 213 74
114 226 299
322 120 152
157 68 514
256 23 572
90 257 615
29 183 164
191 157 1014
63 128 706
250 178 478
300 99 500
241 116 45
172 239 196
318 234 975
160 168 459
306 169 935
158 284 728
73 273 747
8 334 422
106 243 725
38 273 814
11 192 941
124 322 974
295 209 309
81 76 845
150 265 352
130 273 204
283 58 461
1 141 141
177 9 568
316 26 707
329 134 678
133 193 895
64 104 187
162 190 727
296 12 262
328 139 317
25 11 451
41 5 57
233 5 465
284 321 625
211 198 425
244 24 647
157 54 173
288 176 36
328 292 155
12 270 950
53 230 976
169 224 1017
301 27 219
34 200 9
244 118 980
45 284 706
200 44 768
60 146 761
72 141 227
315 151 671
323 309 336
146 271 333
193 161 935
98 250 935
150 315 57
43 167 940
291 166 422
134 31 995
150 10 189
334 117 226
161 166 946
41 79 752
208 125 394
94 310 933
195 3 51
335 200 296
225 241 238
200 169 905
185 85 275
179 248 259
73 199 978
253 153 526
153 242 619
256 327 764
208 76 198
295 153 56
233 70 979
252 163 651
101 150 378
124 213 59
230 105 989
126 213 102
251 4 735
230 161 480
45 180 417
166 47 631
303 318 165
9 190 436
247 166 569
248 297 334
141 37 931
178 222 696
321 176 192
255 154 667
225 281 71
39 111 235
38 151 888
70 161 683
187 317 12
285 99 70
328 285 102
131 100 653
277 326 366
91 111 476
46 204 987
94 172 738
209 93 954
329 199 541
213 278 745
267 276 311
13 292 154
40 111 241
12 32 298
45 152 655
23 49 985
10 234 639
41 225 145
174 320 192
22 103 988
187 115 977
87 266 448
234 275 672
174 148 291
274 46 162
171 296 533
179 211 90
307 15 464
332 135 175
28 164 693
28 122 718
288 208 708
70 248 882
139 86 328
39 64 188
266 189 479
217 125 126
20 91 715
298 233 666
220 216 297
254 88 179
293 276 326
63 62 23
207 288 801
54 1 671
322 229 669
136 64 666
94 38 342
266 237 344
88 230 513
281 116 612
95 43 406
126 258 489
240 277 279
119 78 1004
121 58 438
37 214 209
278 291 931
162 264 2
213 161 478
27 68 122
230 83 647
159 148 250
114 179 121
273 189 347
109 337 792
330 210 559
65 122 969
313 82 814
314 325 362
186 98 106
201 162 549
246 258 934
196 162 175
216 2 780
240 269 844
178 329 58
131 201 152
262 136 347
170 282 782
174 160 972
273 144 657
82 275 449
306 91 72
318 124 145
135 261 789
182 261 655
195 139 512
92 269 980
74 71 420
337 262 524
131 112 943
171 121 227
123 33 90
61 162 705
171 227 71
183 191 540
41 69 138
171 4 11
165 71 142
285 36 873
53 253 415
332 334 307
312 142 898
132 19 253
128 173 42
289 336 686
221 161 938
125 298 88
320 188 100
125 11 19
209 193 78
279 152 175
124 266 66
44 54 829
1 328 402
149 132 723
21 293 865
65 7 166
214 20 836
251 50 624
59 258 72
236 92 435
21 105 754
284 157 546
53 7 557
89 310 103
129 169 162
202 130 909
250 67 357
304 327 821
53 306 287
295 176 592
201 198 450
249 20 213
211 130 421
6 299 581
15 259 104
22 162 536
95 6 238
180 304 133
158 155 62
233 235 447
204 1 99
103 203 940
9 55 920
22 308 929
237 62 53
64 309 807
216 277 409
284 285 434
47 124 825
56 77 693
173 256 341
227 319 145
263 173 860
96 32 335
250 134 810
12 132 870
184 331 384
276 104 927
300 47 452
255 51 331
15 184 177
335 67 545
225 104 295
308 253 556
70 227 315
190 135 318
191 318 258
317 328 148
266 126 325
110 18 57
219 201 576
30 214 553
327 257 48
260 312 688
332 75 196
334 254 947
229 262 151
102 171 508
49 88 318
281 290 428
129 91 838
108 52 17
230 46 182
185 297 569
121 83 963
327 149 511
127 4 519
245 146 127
172 312 1
10 333 92
29 313 61
56 57 424
292 329 183
167 106 417
223 243 85
115 111 336
12 166 445
193 207 302
31 77 979
296 9 718
109 274 110
124 255 718
115 322 64
147 31 40
259 65 800
214 109 908
57 227 1016
252 79 966
273 145 525
105 227 832
56 191 580
20 70 602
237 157 752
132 205 381
13 100 689
276 231 702
7 68 87
116 307 960
160 78 992
284 94 576
28 114 647
236 155 1007
337 20 637
131 64 957
14 325 694
231 194 221
324 226 287
336 59 156
86 124 785
264 149 801
266 167 1000
37 128 290
199 249 816
298 206 686
6 328 438
270 20 807
230 303 600
73 335 974
278 310 118
70 220 71
62 212 936
22 6 125
72 31 149
106 4 940
220 167 487
160 131 696
63 102 164
55 154 932
31 330 27
280 244 28
12 187 703
24 150 746
153 289 547
153 69 72
299 8 676
325 238 46
220 228 920
198 282 797
193 162 278
52 216 181
68 75 877
316 62 813
48 29 518
269 289 857
65 37 939
297 172 866
15 142 626
40 148 619
174 234 960
33 294 504
285 72 719
72 128 142
153 315 988
288 4 452
314 243 761
167 268 460
66 172 985
188 42 276
328 150 563
272 311 612
93 35 388
279 268 1013
244 160 117
265 30 920
141 252 427
290 17 539
25 265 921
288 208 310
300 299 172
287 98 286
318 164 272
292 157 612
96 205 36
172 321 767
159 191 809
183 195 940
115 93 500
200 125 441
21 22 209
